Common name,Scientific name,Family,Tag,Width,Soil pH,Height,USDA Hardiness zone,Water requirement,Life cycle,Soil type,Light requirement,Utility,Alternate name,Task Recommendations.,vec_0,vec_1,vec_2,vec_3,vec_4,vec_5,vec_6,vec_7,vec_8,vec_9,vec_10,vec_11
Summersweet ,Clethra alnifolia,Clethraceae,Pollinator attractor,1.0,6.0 - 7.5,3.0,5-9,"Dry, Moist",Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Companion, Hedgerow, Rootstock, Nitrogen fixer, Fragrance","Cherry elaeagnus, cherry silverberry, gumi, natsugumi, essbare ölweide, rote sommer-ölweide, langstielige ölweide, japanische ölweide, cibie, longipe bush, mupan-hsia","Plant in moist, acidic, well-drained soil with full sun to partial shade, irrigate regularly during dry spells, mulch to conserve moisture, prune after flowering to maintain shape, propagate by seed or cuttings, control aphids and scale insects",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7272727272727273
Sun Hemp,Crotalaria juncea,Fabaceae,Nitrogen fixer,1.0,6.0 - 7.5,1.6,10-12,Moist,Annual,"Light (sandy), Medium, Heavy (clay)",Full sun,"Biomass, Fiber, Fire starter, Cover crop, Pest control, textiles, Weaving material, Nitrogen fixer","Crotalaria juncea or commonly known as sun hemp, brown hemp, indian hemp, madras hemp, and sunn hemp also known as: brown hemp, bumpo, ghore sun, janumu, oohawaimaton, san, sana, sanabu, sanai, sanal, sann hemp, sannai sunn, sannappu, saun, senabina soppu, shon, shonpat, sunn hemp, tag, tum-thang, wuckoo nar","Sow seeds in well-drained fertile soil in warm season, thin seedlings to 15 cm spacing, irrigate moderately during dry spells, apply phosphorus-rich fertilizer at planting, harvest biomass before flowering for green manure, control pests organically, rotate crops to improve soil fertility",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7272727272727273
Sweet Broom,Scoparia dulcis,Plantaginaceae,Pest repellent,1.0,5.5 - 7.0,0.8,8-12,Moist,"Annual, Perennial","Light (sandy), Medium, Heavy (clay)",Full sun,"Crafting, Pest control","Licorice weed, vassourinha, amarga, anisillo, bitter broom, bitter-broom, bonphula, broom weed, broomweed, brum sirpi, brum tahplira, chini jhar, chini mran, chinijhar, enugbe, escoba lisa, escobilla, famafantsambo, famafatsambo, flor de casamiento, gàng bén, haraspata, herbe du vent, herbe tourterelle, hiel de tierra, hierba de dolor, jamala koko, jiu yo, lerb divan, lerb toutrel, licorice weed, man, mirmire jhar, nang, nu bge, nyanko son somina, nyinanyina, oguan nkyene, onyame ko metiri, rauma fada, ri haráchan, rice weed, roma fada, salle jhar, scoparia-weed, shuoblo, shuobuolo, sirsaika, sur'prejsi, sweet broom, sweet-broom, tapeiçava, tapixaba, teatina, toothbrush, tupixava, vassourinha, vassourinha-doce, vassourinha-miúda, wild coriandum|wal koththamalli, wild rice, ñukñuk pichana","Plant in well-drained fertile soil with full sun to partial shade, irrigate moderately during dry spells, mulch to conserve moisture, propagate by seed or cuttings, prune to maintain shape, harvest leaves for medicinal use, control aphids",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5454545454545454
Sweet cherry ,Prunus avium,Rosaceae,Fruit/seed producer,12.0,6.0 - 7.5,20.0,3-8,"Dry, Moist",Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Animal feed, Hedgerow, Nitrogen fixer, Soap, Wildlife habitat",Coffee bean tree,"Plant in well-drained fertile soil with full sun, prune in late winter to remove dead or crossing branches, irrigate deeply during dry spells, mulch to conserve moisture, fertilize in early spring, control cherry fruit fly and brown rot, thin fruit for size, harvest when fruit is fully colored and firm",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7272727272727273
Sweet chestnut ,Castanea sativa,Fagaceae,Shade provider,9.0,5.0 - 6.5,30.0,3-8,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Companion, Animal feed, Fire starter, Potash, Preservative, Lumber, Dynamic accumulator","Florida maple, hard maple, rock maple","Plant in deep, well-drained acidic soil with full sun, irrigate regularly during dry spells, apply nitrogen and potassium fertilizer in early spring, mulch to conserve moisture, prune in late winter to remove dead or diseased branches, control chestnut blight and weevils, harvest nuts when burs split",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.36363636363636365
Sweet Gum,Liquidambar styraciflua,Hamamelidaceae,Shade provider,12.0,5.5 - 6.5,25.0,5-9,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Adhesive, Gum, Fragrance, Pest control, Resin, Teeth, Lumber","Red gum, american sweet gum, red sweet gum","Plant in well-drained fertile soil with full sun to partial shade, irrigate regularly during dry spells, apply balanced fertilizer in early spring, mulch to conserve moisture, prune dead or damaged branches in late winter, propagate by seed or cuttings, control aphids",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.45454545454545453
Sweetcorn Root ,Calathea allouia,Marantaceae,Shade-tolerant crop,0.5,5.5 - 6.5,2.0,10-12,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Weaving material,"Guinea arrowroot, sweetcorn root or calathea allouia other names: agua bendita, allelouia, alleluia, aria, cocurito, curcuma d'amerique, dale dale, dali dali, guinea arrowroot, lairem, laren, leren, lerenes, lleren, sweet corn root, sweet-corm-root, topee tambu, topi-tambu, topinambour","Plant in well-drained fertile soil with partial shade, maintain high humidity and consistent moisture, mulch to conserve moisture, propagate by division, avoid waterlogging, harvest roots carefully, control fungal diseases",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.45454545454545453
Tabasco Pepper,Capsicum frutescens,Solanaceae,Culinary vegetable,0.5,5.5 - 7.0,6.0,8-11,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,Culinary spice,"Cayenne pepper, Thai chili, Bird's Eye Chili","Sow seeds indoors 8-10 weeks before last frost, transplant after frost risk, provide full sun and well-drained soil, irrigate consistently to maintain moisture, apply balanced fertilizer biweekly, stake plants to support heavy fruit load, control aphids and whiteflies, harvest peppers when fully colored",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5454545454545454
Tansy ,Tanacetum vulgare,Asteraceae or compositae,Pest repellent,0.5,6.0 - 7.5,1.0,3-8,"Dry, Moist",Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Compost, Dye, Essential Oil, Pest control, Strewing, Dynamic accumulator, Fragrance","Common tansy, golden buttons, curly leaf tansy","Sow seeds in well-drained fertile soil in spring, thin seedlings to 20 cm spacing, irrigate moderately to maintain moisture, deadhead spent flowers to prolong bloom, mulch to conserve moisture, propagate by division, control aphids",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7272727272727273
Tansy-Leaved Thorn,Crataegus tanacetifolia,Rosaceae,Shade provider,5.0,6.0 - 7.5,10.0,6-8,"Dry, Moist, Wet",Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Lumber, Fragrance",Tansy-leaved hawthorn,"Plant in well-drained fertile soil with full sun, prune in late winter to remove dead or crossing branches, irrigate moderately during dry spells, mulch to conserve moisture, fertilize in early spring, control fire blight and aphids, harvest fruit when fully colored",1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7272727272727273
Tarweed,Cuphea viscosissima,Lythraceae,Pollinator attractor,0.3,6.0 - 7.5,0.5,6-9,Moist,Annual,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Ornamental, ground cover",Blue waxweed,"Sow seeds in well-drained fertile soil in spring, thin seedlings to 15 cm spacing, irrigate moderately to maintain moisture, mulch to conserve moisture, deadhead to prolong flowering, control aphids, harvest flowers for ornamental use",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7272727272727273
Tea Plant ,Camellia sinensis,Theaceae,Culinary vegetable,1.5,4.5 - 6.0,4.0,7-9,Moist,Perennial,"Light (sandy), Medium",Partial sun/shade,"Dye, Essential Oil, oil, Tannin, Lumber, Fragrance","Assam tea, tea tree camellia, cha, chai, chiya, chashu, laphet, perdu teh, pokok cha, pokok teh, thayili, theyaku, tra","Plant in acidic, well-drained fertile soil with partial shade, irrigate regularly to maintain moisture, mulch with organic matter, prune after harvest to maintain shape, fertilize with acid-loving plant fertilizer, control tea mosquito bug and fungal diseases",0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.18181818181818182
Tea Tree,Melaleuca hypericifolia,Myrtaceae,Pest repellent,3.0,5.5 - 6.5,3.0,8-11,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Hedgerow,Hillock paperbark,"Plant in well-drained fertile soil with full sun, irrigate moderately during dry spells, apply phosphorus-rich fertilizer in early spring, prune after flowering to maintain shape, mulch to conserve moisture, propagate by cuttings, control scale insects",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.45454545454545453
Tea Tree,Melaleuca alternifolia,Myrtaceae,Pest repellent,4.0,5.5 - 6.5,6.0,8-11,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Essential Oil, Lumber","Narrow-leaved paperbark, Australian tea tree","Plant in well-drained fertile soil with full sun, irrigate moderately during dry spells, apply phosphorus-rich fertilizer in early spring, prune after flowering to maintain shape, mulch to conserve moisture, propagate by cuttings, control pests organically",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.45454545454545453
Teak,Tectona grandis,Lamiaceae,Shade provider,12.0,5.5 - 6.5,30.0,10-12,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Fire starter, Dye, Fencing, Lumber, Hair, Fragrance, textiles, Pest control","Ai-teca, djati, kpagh, tekka, tlawr, bankok teak, bhumisaha, chingjagu sagun, dwaradaru, indian teak, indian-oak, jati, kharacchada, pedda, sag, saga, sagan, sagauna, sagawani, sagu, saguana, sagun, sagwan, saka, segunagachh, shaka, stekku, teak, teck, tegu, teku, thega, thekku, you mu, saka (heart wood)","Plant in deep, well-drained fertile soil with full sun, irrigate regularly during dry spells, apply balanced fertilizer quarterly, mulch to conserve moisture, prune dead or damaged branches, propagate by seed or cuttings, control teak defoliator",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.45454545454545453
Tephrosia virginiana,Tephrosia virginiana,Fabaceae or leguminosae,Nitrogen fixer,0.3,6.0 - 7.5,0.6,4-8,"Dry, Moist",Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Hair, Pest control",Virginia tephrosia,"Sow seeds after scarification in well-drained sandy soil with full sun, irrigate sparingly once established, apply phosphorus-rich fertilizer at planting, mulch to conserve moisture, propagate by seed or cuttings, control aphids",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7272727272727273
Terminalia kaernbachii,Terminalia kaernbachii,Combretaceae,Shade provider,12.0,5.5 - 6.5,20.0,10-12,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Lumber, oil","Talia lavata, alita fasia, tatalise, hogolo, ghaghimanga, talise, manavasa, naklise, nyiga","Plant in well-drained fertile soil with full sun, irrigate moderately during dry spells, mulch to conserve moisture, prune dead branches, propagate by seed or cuttings, control pests organically",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.45454545454545453
Texas Walnut,Juglans microcarpa,Juglandaceae,Shade provider,10.0,6.0 - 7.0,10.0,5-9,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Herbicide, oil, Rootstock, Lumber","Little walnut, stewart's little walnut","Plant in deep, well-drained fertile soil with full sun, irrigate regularly during dry spells, apply nitrogen and potassium fertilizer in early spring, mulch to conserve moisture, prune to remove dead or crossing branches, harvest nuts when hulls split, control pests",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.6363636363636364
Theobroma cacao ,Theobroma cacao,Malvaceae,Shade provider,3.0,5.0 - 6.5,8.0,10-12,Moist,Perennial,"Medium, Heavy (clay)","Full sun, Partial sun/shade, Full shade","Fire starter, Cosmetic, Fiber, oil, textiles, Soap making, Weaving material, Lumber","Cocoa tree, cacau-verdaeiro, cacau, cacaueiro, cacautl, chocolate tree, kakaw, koko, pokok choklat, prorounahi, cacao, cacao butter, cacao semen, cacao testes, cacao tree, cacaoeiro, cacaotero, cacaoyer, cacau, calabacillo, chocolate, chocolate nut, cocoa, cocoa bean, cocoa beans, cocoa butter, cocoa|kokova/chocolat gas, echter kakaobaum, forastero, gábu, kakao, kakaobaum, kakaopflanze, kakaosamen, kakaoschalen, kakay, kakua, kuk, oleum cacao, theobroma oil, árbol del cacao","Plant in well-drained fertile soil with partial shade, maintain high humidity and consistent moisture, apply balanced fertilizer quarterly, mulch to conserve moisture, prune to maintain shape and remove diseased branches, control cocoa pod borer, harvest pods when ripe",0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.36363636363636365
Thyme ,Thymus vulgaris,Lamiaceae or Labiatae,Pest repellent,0.4,6.0 - 7.0,0.9,3-10,Moist,"Annual, Biennial","Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Medicinal, ornamental",Carolina desert-chicory,"Sow seeds indoors 6-8 weeks before last frost, transplant after frost risk, plant in well-drained alkaline soil with full sun, irrigate sparingly to avoid root rot, prune after flowering to maintain compact growth, mulch with gravel in dry climates, harvest leaves before flowering, control spider mites",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.6363636363636364
Thymeleaf melaleuca,Melaleuca thymifolia,Myrtaceae,Pest repellent,1.5,5.5 - 6.5,1.0,8-11,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Essential Oil, Fragrance",Thyme honey-myrtle,"Plant in well-drained acidic soil with full sun, irrigate moderately during dry spells, mulch with organic matter, prune after flowering to maintain shape, propagate by cuttings, control scale insects",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.45454545454545453
Tiarella cordifolia,Tiarella cordifolia,Saxifragaceae,Shade-tolerant crop,0.3,6.0 - 7.5,0.2,3-9,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)","Partial sun/shade, Full shade",Ground cover,"Heartleaf foamflower, clumping foamflower","Plant in moist, well-drained acidic soil with partial shade, maintain consistent moisture, mulch with leaf litter, propagate by division, prune dead foliage after flowering, control slugs and snails",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.7272727272727273
Tiger nut ,Cyperus esculentus,Cyperaceae,Nutrient-demanding crop,1.0,6.0 - 7.0,1.5,4-9,"Dry, Moist",Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dye, Essential Oil, oil, Strewing, Dynamic accumulator, Fragrance",Sweet fennel,"Plant tubers in well-drained fertile soil with full sun, maintain consistent moisture, irrigate regularly, mulch to conserve moisture, harvest tubers when mature, control weeds manually",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.6363636363636364
Tigridia pavonia,Tigridia pavonia,Iridaceae,Pollinator attractor,0.75,6.0 - 7.5,0.6,7-10,"Dry, Moist",Perennial,"Light (sandy), Medium",Full sun,Ornamental,"Tiger flower, peacock flower","Plant bulbs in well-drained fertile soil with full sun, plant in spring after frost risk, irrigate moderately during growing season, mulch to conserve moisture, propagate by division, deadhead spent flowers to encourage blooming",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7272727272727273
Tobacco ,Nicotiana tabacum,Solanaceae,Pest repellent,0.5,5.5 - 6.5,1.2,7-10,Moist,Annual,"Light (sandy), Medium, Heavy (clay)",Full sun,"Pest control, oil, Dynamic accumulator, Fragrance",Cultivated tobacco,"Sow seeds indoors 6-8 weeks before last frost, transplant after frost risk, plant in well-drained fertile soil with full sun, irrigate regularly to maintain moisture, apply balanced fertilizer monthly, mulch to conserve moisture, control tobacco hornworm, harvest leaves before flowering",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.45454545454545453
Tomatillo ,Physalis ixocarpa,Solanaceae,Fruit/seed producer,1.0,6.0 - 7.0,1.2,7-10,"Dry, Moist",Annual,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Edible fruit, medicinal","Mexican husk tomato, husk tomato","Sow seeds indoors 6-8 weeks before last frost, transplant after frost risk, plant in well-drained fertile soil with full sun, irrigate regularly to maintain moisture, apply balanced fertilizer monthly, mulch to conserve moisture, support plants with stakes, harvest fruits when fully colored",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.6363636363636364
Tomato ,Solanum lycopersicum,Solanaceae,Culinary vegetable,1.0,6.2 - 6.8,2.0,10-12,Moist,"Annual, Perennial","Light (sandy), Medium, Heavy (clay)",Full sun,"Culinary vegetable, medicinal","Garden tomato, Dumádu, Garden tomato, Love apple, Lycopersicum esculentum, Tomate, Tomato, Tomato extract containing lycopene, Tomato|thakkali, Tumatis, Lycopersicon esculentum","Sow seeds indoors 6-8 weeks before last frost, transplant after frost risk, plant in well-drained fertile soil with full sun, irrigate deeply during flowering and fruit set, apply balanced fertilizer monthly, mulch to conserve moisture, stake plants to support fruit, control tomato hornworm, harvest when fruits are firm and fully colored",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.6363636363636364
Tragopogon porrifolius,Tragopogon porrifolius,Asteraceae or compositae,Nutrient-demanding crop,0.3,6.0 - 7.0,0.6,4-8,Moist,Biennial,"Light (sandy), Medium, Heavy (clay)",Full sun,Gum,"Salsify, oyster plant","Sow seeds in well-drained fertile soil in spring, thin seedlings to 20 cm spacing, irrigate moderately to maintain moisture, mulch to conserve moisture, harvest roots before flowering, control aphids",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.6363636363636364
Tragopogon pratensis,Tragopogon pratensis,Asteraceae or compositae,Nutrient-demanding crop,0.5,6.0 - 7.0,0.6,3-7,Moist,"Annual, Perennial","Light (sandy), Medium, Heavy (clay)",Full sun,Cosmetic,"Jack-go-to-bed-at-noon, meadow salsify","Sow seeds in well-drained fertile soil in spring, thin seedlings to 20 cm spacing, irrigate moderately to maintain moisture, mulch to conserve moisture, harvest roots before flowering, control aphids",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.6363636363636364
Tree of heaven ,Ailanthus altissima,Simaroubaceae,Shade provider,6.0,5.5 - 7.0,25.0,5-9,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Companion, Dye, Essential Oil, Lumber, Fragrance",Common sassafras,"Plant in well-drained fertile soil with full sun, prune to control size and remove suckers, irrigate moderately during dry spells, mulch to conserve moisture, control invasive spread, propagate by seed or root cuttings",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5454545454545454
Tribulus terrestris,Tribulus terrestris,Zygophyllaceae,Nutrient-poor crop,0.3,6.0 - 7.0,0.6,8-11,"Dry, Moist","Annual, Biennial","Light (sandy), Medium, Heavy (clay)",Full sun,"Medicinal, ground cover",Puncturevine,"Sow seeds in well-drained sandy soil in spring, irrigate sparingly, thin seedlings to 15 cm spacing, mulch to conserve moisture, control invasive spread, harvest seeds carefully due to spiny burs",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.6363636363636364
Trichilia dregeana,Trichilia dregeana,Meliaceae,Shade provider,8.0,5.5 - 6.5,25.0,10-12,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Fire starter, Cosmetic, Essential Oil, Lumber, Hair, Lighting, oil, Pest control, Soap making, Coppice","Forest mahogany, gereche, kamoko, kampakampaka, mbamba, mkungwina, mnyongayonga, muchiquiri, ngolimazi, sekoba, uagon, umkuhlo, aribanda des montagnes, cape-mahogany, christmas-bells, forest mahogany, forest natal-mahogany, forest-mahogany, mafureira, mkungwina, mtimaji, red-ash, sekoba, thundertree","Plant in well-drained fertile soil with partial shade, irrigate moderately during dry spells, mulch to conserve moisture, prune dead or damaged branches, propagate by seed or cuttings, control pests organically",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.45454545454545453
Trifolium pratense ,Trifolium pratense,Fabaceae or leguminosae,Nitrogen fixer,0.3,6.0 - 7.5,0.6,5-9,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dye, Cover crop, Soil reclamation, Dynamic accumulator, Nitrogen fixer","Wild clover, purple clover","Sow seeds in well-drained fertile soil in early spring or autumn, inoculate seeds with rhizobium bacteria, irrigate regularly to maintain moisture, mow regularly to encourage dense growth, apply balanced fertilizer annually, rotate crops to reduce pests",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7272727272727273
Triticum aestivum,Triticum aestivum,Poaceae or gramineae,Tall crop,0.5,6.0 - 7.5,1.5,10-12,Moist,Annual,"Light (sandy), Medium, Heavy (clay)",Full sun,"Biomass, Mulch, textiles, Starch","Common wheat, Ble, Frumento, Gahum, Gahun, Gahung, Gam, Gandham, Gandum, Gawn, Gehun, Gendum, Ghavum, Giun, Godamba, Godhi, Godhuma, Godumai, Godumbayarisi, Gom, Goodhumalu, Govum, Kanak, Kotanpam, Saatweizen, Tirigu, Trigo, Xaio mai, Aabguwan, Amylum tritici, Blé, Blé ordinaire, Bread wheat, Common wheat, Dinkel, Dinkel wheat, Escanda, Escaña, Espelta, Farro, Froment, Fructus tritici levis, Frumento, Frumento tenero, Fu xiao mai, Fuxiaomai, Gam, Gandum, Gehun, Godhuma, Godumai, Godumulu, Hantha, Hulled wheat, Komugi, Light wheat grain, Mil, Nishasta-e-gandum, Pivla-potia, Refined wheat-germ oil, Saatweizen, Spelt, Spelt wheat, Speltvete, Spelz, Trigo, Trigo blando, Trigo candeal, Tritici aestivi oleum raffinatum, Tritici aestivi oleum virginale, Tritici amylum, Tritici levis fructus, Tritici levis semen, Vete, Virgin wheat-germ oil, Weizen, Wheat, Wheat bran, Wheat starch, Wheat-germ oil, Refined, Virgin, Xiao mai, Épeautre","Sow seeds in well-drained fertile soil in early spring or autumn, thin seedlings to 15 cm spacing, irrigate moderately to avoid drought stress, apply nitrogen fertilizer at tillering stage, harvest when grains are hard and dry, rotate crops to reduce pests",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7272727272727273
Tufted Sedge,Carex elata,Cyperaceae,Ground cover,0.5,5.0 - 7.0,1.2,5-9,"Moist, Wet",Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","textiles, Ground cover",Golden variegated sedge,"Plant in wet, poorly drained soils with full sun to partial shade, maintain consistent moisture, propagate by division, control invasive species, mulch with organic matter to retain moisture",0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.45454545454545453
Tulip Tree,Liriodendron tulipifera,Magnoliaceae,Shade provider,12.0,5.5 - 7.0,30.0,4-9,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dye, Lumber","Tulip poplar, yellow poplar, canary whitewood","Plant in deep, well-drained fertile soil with full sun to partial shade, irrigate regularly during dry spells, mulch to conserve moisture, prune dead or damaged branches in late winter, propagate by seed or cuttings, control aphids",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5454545454545454
Tupelo ,Nyssa sylvatica,Nyssaceae,Shade provider,4.5,6.0 - 7.5,15.0,4-9,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Fiber, Lumber","Common mulberry, white mulberry","Plant in moist, acidic, well-drained soil with full sun to partial shade, irrigate regularly during dry spells, mulch to conserve moisture, prune dead or damaged branches, propagate by seed or cuttings, control scale insects",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7272727272727273
Turnip,Brassica rapa,Brassicaceae or cruciferae,Culinary vegetable,0.5,6.0 - 7.5,0.5,7-11,Moist,Biennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Leafy vegetable, fodder","White turnip, garden turnip","Sow seeds in well-drained fertile soil in cool season, thin seedlings to 15 cm spacing, irrigate consistently to avoid stress, apply nitrogen-rich fertilizer every 3 weeks, harvest leaves or roots depending on variety, mulch to suppress weeds, control flea beetles",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7272727272727273
"Turnip ""Bok choy""",Brassica rapa,Brassicaceae or cruciferae,Culinary vegetable,0.5,6.0 - 7.0,1.0,4–9,Moist,Biennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Leafy vegetable, salad green","Escarole, endive lettuce","Sow seeds in well-drained fertile soil in cool season, thin seedlings to 15 cm spacing, irrigate consistently to avoid stress, apply nitrogen-rich fertilizer every 3 weeks, harvest leaves or roots depending on variety, mulch to suppress weeds, control flea beetles",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.6363636363636364
"Turnip ""Tatsoi""",Brassica rapa,Brassicaceae or cruciferae,Culinary vegetable,3.0,5.5 - 7.0,1.0,5-9,"Moist, Wet",Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Weaving material, Fiber, Hair, Lumber, Dynamic accumulator",Hooker's willow,"Sow seeds in well-drained fertile soil in cool season, thin seedlings to 15 cm spacing, irrigate consistently to avoid stress, apply nitrogen-rich fertilizer every 3 weeks, harvest leaves or roots depending on variety, mulch to suppress weeds, control flea beetles",0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5454545454545454
Valerian ,Valeriana capitata,Valerianaceae,Pest repellent,0.5,6.0 - 7.0,1.2,3-10,"Dry, Moist",Perennial,"Light (sandy), Medium",Full sun,"Medicinal (immune support), ornamental","Eastern purple coneflower, hedge coneflower, black sampson, purple coneflower","Sow seeds in well-drained fertile soil in spring, thin seedlings to 20 cm spacing, irrigate moderately to maintain moisture, mulch to conserve moisture, harvest roots in autumn, propagate by division",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6363636363636364
Vanilla,Vanilla planifolia,Orchidaceae,Climber/vine,1.0,5.5 - 6.5,15.0,10-12,"Dry, Moist",Perennial,"Light (sandy), Medium","Partial sun/shade, Full shade","Cosmetic, Soap making, Fragrance","Species orchid, vanilla orchid, commercial vanilla, flat plane leafed vanilla, vainella, vaniglia, banira, baunilha, bourbon vanilla, flat-leaved vanilla, madagascar vanilla, mexican vanilla, tahitian vanilla, vainilla, vaniglia, vanilj, vanilla, vanilla orchid, vanillae fructus, vanilla|vanila, vanille, vanille echte, vaniller aromatique, vanillier, west indian vanilla","Plant in well-drained fertile soil with partial shade, maintain high humidity and consistent moisture, provide support for climbing, apply balanced fertilizer quarterly, prune to remove dead or diseased branches, control vanilla bean thrips, harvest pods when mature and aromatic",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.45454545454545453
